City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,tahta,26.7693,31.5021,106.75,10,0,9.06,EG,1628352811
120,bend,44.0582,-121.3153,70.99,58,1,3.0,US,1628352811
121,saldanha,-33.0117,17.9442,57.56,70,100,5.68,ZA,1628352812
122,pingzhuang,42.0372,119.2889,69.01,67,0,4.14,CN,1628352813
123,pokhara,28.2333,83.9833,73.63,85,39,3.13,NP,1628352551
124,cidreira,-30.1811,-50.2056,68.2,70,13,11.68,BR,1628352813
125,potchefstroom,-26.7167,27.1,60.1,13,0,6.82,ZA,1628352813
126,xapuri,-10.6517,-68.5044,97.14,21,0,2.39,BR,1628352814
127,farafangana,-22.8167,47.8333,68.04,79,0,5.1,MG,1628352814
128,vestmannaeyjar,63.4427,-20.2734,58.19,82,75,8.05,IS,1628352814
129,yar-sale,66.8333,70.8333,67.08,68,15,5.35,RU,1628352815
130,pinerolo,44.8833,7.35,77.85,79,79,7.16,IT,1628352815
131,atasu,48.6814,71.6433,69.85,59,99,3.56,KZ,1628352660
132,aswan,24.0934,32.907,99.79,29,69,18.41,EG,1628352566
133,yellowknife,62.456,-114.3525,58.86,91,100,12.84,CA,1628352815
134,yokadouma,3.5167,15.05,70.57,97,100,0.51,CM,1628352816
135,auki,-8.7676,160.7034,76.6,83,100,3.27,SB,1628352816
136,atbasar,51.8,68.3333,68.95,53,6,14.61,KZ,1628352816
137,merauke,-8.4667,140.3333,73.85,80,86,12.86,ID,1628352818
138,dod ballapur,13.2919,77.5431,73.42,77,97,13.09,IN,1628352818
139,salinas,36.6777,-121.6555,72.03,85,90,3.44,US,1628352819
140,port blair,11.6667,92.75,82.38,82,98,15.77,IN,1628352819
141,mount isa,-20.7333,139.5,55.17,33,0,3.44,AU,1628352791
142,ancud,-41.8697,-73.8203,49.42,64,86,5.91,CL,1628352819
143,maracacume,-2.0428,-45.9592,88.81,50,17,4.43,BR,1628352820
144,butaritari,3.0707,172.7902,81.91,71,20,12.88,KI,1628352820
145,kendari,-3.945,122.4989,74.5,88,100,2.89,ID,1628352820
146,pascagoula,30.3658,-88.5561,89.6,61,75,0.0,US,1628352821
147,port lincoln,-34.7333,135.8667,53.04,74,47,9.28,AU,1628352821
148,souillac,-20.5167,57.5167,72.36,72,9,12.06,MU,1628352822
149,harbour breton,47.4833,-55.7983,62.28,97,100,12.66,CA,1628352822
150,fort nelson,58.8053,-122.7002,52.25,97,100,14.72,CA,1628352823
151,poum,-20.2333,164.0167,69.17,71,85,10.58,NC,1628352823
152,necochea,-38.5473,-58.7368,60.04,57,100,12.21,AR,1628352824
153,severodvinsk,64.5635,39.8302,69.91,64,6,7.61,RU,1628352824
154,emerald,-23.5333,148.1667,50.76,52,0,10.2,AU,1628352824
155,saint anthony,45.0205,-93.218,70.56,93,90,4.61,US,1628352825
156,hambantota,6.1241,81.1185,80.04,80,97,20.76,LK,1628352825
157,cabo san lucas,22.8909,-109.9124,89.62,67,20,4.0,MX,1628352600
158,straumen,63.8709,11.2999,73.4,48,96,13.24,NO,1628352825
159,talnakh,69.4865,88.3972,63.86,46,79,4.72,RU,1628352826
160,praia,14.9215,-23.5087,79.83,81,67,8.37,CV,1628352826
161,broken hill,-31.95,141.4333,47.35,73,0,8.23,AU,1628352827
162,teknaf,20.8624,92.3058,79.93,90,39,7.72,BD,1628352827
163,nikolayevskaya,47.6139,41.5023,96.53,20,100,13.78,RU,1628352828
164,dese,11.1333,39.6333,58.8,74,20,2.55,ET,1628352828
165,rudbar,30.15,62.6,95.67,10,0,14.2,AF,1628352829
166,fernie,49.5,-115.0687,71.62,55,54,7.78,CA,1628352829
167,zhicheng,30.2956,111.5047,78.15,81,45,3.47,CN,1628352829
168,kimbe,-5.5502,150.1429,73.94,94,66,4.7,PG,1628352830
